City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
292,Santa Cruz,BO,2020-08-14 20:21:10,-17.8,-63.17,82.4,61,40,18.34
293,Vryheid,ZA,2020-08-14 20:21:10,-27.77,30.79,50.38,51,0,4.65
294,Olinda,BR,2020-08-14 20:21:10,-8.01,-34.86,78.8,69,40,11.41
295,San Juan Del Sur,NI,2020-08-14 20:21:10,11.25,-85.87,84.2,79,75,4.7
296,Mahon,ES,2020-08-14 20:21:10,39.89,4.27,77.0,83,0,9.17
297,Arman,RU,2020-08-14 20:21:10,59.7,150.17,55.29,88,100,2.71
298,Margate,GB,2020-08-14 20:17:31,51.38,1.39,71.01,89,99,1.01
299,Santa Rosa,PH,2020-08-14 20:21:10,14.31,121.11,78.8,94,91,1.97
300,San Patricio,MX,2020-08-14 20:21:10,19.22,-104.7,91.4,70,40,11.41
301,Adrar,MR,2020-08-14 20:21:10,20.5,-10.07,102.09,22,92,8.28
302,Manadhoo,MV,2020-08-14 20:21:10,5.77,73.38,81.72,79,100,10.25
303,Mayo,US,2020-08-14 20:21:10,38.89,-76.51,86.0,70,75,10.29
304,Vila Velha,BR,2020-08-14 20:21:10,-20.33,-40.29,79.0,73,0,17.22
