City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rainfall(1hr),Snowfall(1hr)
384,Ixtapa,MX,20.7,-105.2,79.0,94,90,6.93,light rain,0,0
385,Pacific Grove,US,36.62,-121.92,71.01,60,1,6.93,clear sky,0,0
386,Santo Antonio Do Ica,BR,-3.1,-67.94,78.04,74,50,0.58,scattered clouds,0,0
387,Wagar,SD,16.15,36.2,77.7,76,90,6.46,overcast clouds,0,0
388,Tibacuy,CO,4.35,-72.46,80.04,75,6,4.23,clear sky,0,0
389,Grand Bank,CA,47.1,-55.77,57.51,89,92,14.38,overcast clouds,0,0
390,Ilulissat,GL,69.22,-51.1,44.6,75,9,3.36,clear sky,0,0
391,Moose Factory,CA,51.26,-80.61,64.4,88,75,3.36,broken clouds,0,0
392,Asosa,ET,10.07,34.53,60.49,96,96,2.04,overcast clouds,0,0
393,Shache,CN,38.42,77.24,71.65,32,12,5.08,few clouds,0,0
394,Aktash,RU,50.3,87.73,42.24,93,98,3.65,overcast clouds,0,0
395,Yuanping,CN,38.72,112.76,75.33,72,42,1.57,scattered clouds,0,0
396,Japura,ID,-0.32,102.35,74.5,89,86,0.74,overcast clouds,0,0
397,Karratha,AU,-20.74,116.85,67.53,28,0,12.62,clear sky,0,0
398,Toktogul,KG,41.87,72.94,63.18,50,44,0.72,scattered clouds,0,0
399,Whithorn,JM,18.26,-78.04,86.0,74,20,17.22,few clouds,0,0
400,Suntar,RU,62.14,117.63,60.24,65,92,4.92,overcast clouds,0,0
401,Kapustin Yar,RU,48.58,45.74,71.73,38,0,5.61,clear sky,0,0
402,Sorong,ID,-0.88,131.25,79.97,84,63,12.26,broken clouds,0,0
403,Naze,JP,28.37,129.48,86.0,84,20,10.29,few clouds,0,0
404,Anadyr,RU,64.75,177.48,55.4,82,75,2.24,broken clouds,0,0
405,Puerto Del Rosario,ES,28.5,-13.86,73.4,73,75,19.46,broken clouds,0,0
406,Neuquen,AR,-38.95,-68.06,42.8,81,43,5.1,scattered clouds,0,0
407,Xichang,CN,27.9,102.26,67.62,82,100,1.77,light rain,0,0
408,Grand Gaube,MU,-20.01,57.66,70.0,79,36,1.99,scattered clouds,0,0
409,Dubbo,AU,-32.25,148.62,50.0,100,5,4.7,clear sky,0,0
410,Atambua,ID,-9.11,124.89,74.14,51,47,5.14,scattered clouds,0,0
411,Spring Valley,US,36.11,-115.25,111.2,4,1,10.29,clear sky,0,0
412,Eirunepe,BR,-6.66,-69.87,78.3,69,65,2.06,broken clouds,0,0
413,Aklavik,CA,68.22,-135.01,59.0,72,75,6.93,broken clouds,0,0
414,Nemuro,JP,43.32,145.57,71.6,73,20,11.41,few clouds,0,0
415,Tofte,NO,59.54,10.56,57.99,93,19,1.12,fog,0,0
416,Bosanski Novi,BA,45.05,16.38,68.56,87,0,1.68,clear sky,0,0
417,Iiyama,JP,36.85,138.37,73.99,100,76,1.14,light rain,0,0
418,Avera,US,33.19,-82.53,86.0,66,75,8.05,broken clouds,0,0
419,Bonthe,SL,7.53,-12.51,76.28,84,98,11.27,light rain,0,0
420,Kalabo,ZM,-14.97,22.68,55.02,45,0,7.34,clear sky,0,0
421,Comodoro Rivadavia,AR,-45.87,-67.5,41.0,60,58,8.05,broken clouds,0,0
422,Kalengwa,ZM,-13.47,25.0,53.62,51,0,5.3,clear sky,0,0
423,Saint George,US,37.1,-113.58,107.01,6,1,12.75,clear sky,0,0
424,Ajaccio,FR,42.0,8.92,73.4,64,0,6.93,clear sky,0,0
425,Namatanai,PG,-3.67,152.43,84.88,68,45,5.77,scattered clouds,0,0
426,Vao,NC,-22.67,167.48,72.25,84,75,25.84,broken clouds,0,0
427,Coquimbo,CL,-29.95,-71.34,51.8,93,1,4.7,clear sky,0,0
428,Ulundi,ZA,-28.34,31.42,54.93,75,39,2.71,scattered clouds,0,0
429,Coruripe,BR,-10.13,-36.18,73.31,78,42,10.45,scattered clouds,0,0
430,Hanumangarh,IN,29.58,74.32,89.01,60,65,12.84,light rain,0,0
431,Korla,CN,41.76,86.15,81.0,68,96,1.99,overcast clouds,0,0
432,Tecolutla,MX,20.48,-97.02,84.2,79,75,11.41,broken clouds,0,0
433,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,71.6,53,95,4.47,overcast clouds,0,0
434,Manono,CD,-7.3,27.42,68.14,44,10,4.47,clear sky,0,0
435,Terrace,CA,54.52,-128.6,77.0,27,75,3.36,broken clouds,0,0
436,Shangrao,CN,28.45,117.97,81.9,82,96,4.97,overcast clouds,0,0
437,Upington,ZA,-28.45,21.26,46.4,45,0,1.12,clear sky,0,0
438,Russell,US,32.35,-85.2,78.8,83,75,10.29,broken clouds,0,0
439,Hirara,JP,24.8,125.28,84.2,89,75,9.17,shower rain,0,0
440,Kyren,RU,51.68,102.14,60.96,82,100,0.13,light rain,0,0
441,Kyabe,TD,9.45,18.94,70.48,91,100,3.15,overcast clouds,0,0
442,Kismayo,SO,-0.36,42.55,77.0,86,22,14.67,light rain,0,0
443,Nuevitas,CU,21.55,-77.26,86.0,74,51,19.46,broken clouds,0,0
444,Parrita,CR,9.52,-84.32,75.2,64,40,12.75,scattered clouds,0,0
445,Mombetsu,JP,44.35,143.35,73.45,66,1,2.01,clear sky,0,0
446,Hengshui,CN,37.73,115.7,81.75,64,49,9.66,scattered clouds,0,0
447,Port Macquarie,AU,-31.43,152.92,63.0,72,16,4.0,few clouds,0,0
448,Dahod,IN,22.83,74.27,77.23,89,100,7.96,moderate rain,0,0
449,Melaka,MY,2.2,102.24,77.0,88,20,2.35,few clouds,0,0
450,Broken Hill,AU,-31.95,141.43,50.0,87,90,11.41,overcast clouds,0,0
451,Bandarbeyla,SO,9.49,50.81,78.42,73,34,24.29,scattered clouds,0,0
452,Eshowe,ZA,-28.89,31.47,53.37,98,43,3.36,scattered clouds,0,0
453,Turukhansk,RU,65.82,87.98,59.25,88,98,12.73,light rain,0,0
454,Namibe,AO,-15.2,12.15,62.15,82,57,7.11,broken clouds,0,0
455,Shenjiamen,CN,29.96,122.3,80.98,87,73,12.95,broken clouds,0,0
456,Narrabri,AU,-30.32,149.78,55.0,76,0,9.17,clear sky,0,0
457,Cravo Norte,CO,6.3,-70.2,78.91,82,65,4.32,broken clouds,0,0
458,Buluang,PH,13.31,123.34,79.56,87,100,5.59,light rain,0,0
459,Doha,QA,25.29,51.53,96.8,56,1,3.36,clear sky,0,0
460,Kayes,ML,14.0,-11.0,77.34,86,100,3.56,light rain,0,0
461,Flinders,AU,-34.58,150.86,61.0,69,1,8.99,clear sky,0,0
462,Gatesville,US,31.44,-97.74,89.6,55,1,16.11,clear sky,0,0
463,Plettenberg Bay,ZA,-34.05,23.37,56.88,74,1,10.8,clear sky,0,0
464,Muravlenko,RU,63.79,74.52,48.43,95,51,7.25,broken clouds,0,0
465,Semnan,IR,35.57,53.4,82.06,34,10,4.85,clear sky,0,0
466,Vestmanna,FO,62.16,-7.17,46.4,87,87,10.29,overcast clouds,0,0
467,Kangaatsiaq,GL,68.31,-53.46,43.3,83,79,11.03,broken clouds,0,0
468,Sakaiminato,JP,35.55,133.23,80.6,88,75,4.7,broken clouds,0,0
